Vendor,Brand,Product_Name,Former_Price,Current_Price,Frame_Type,Product_Image,Discount,Product_Link
Glasses.com,Dolce & Gabbana,DG3404,$ 422.00,$ 295.40,Unknown,https://assets2.glasses.com/cdn-record-files-pi/62b01bfb-a9f4-4b6a-9a79-b17d0160f452/1f6b66b6-55da-4ba5-83be-b17d016ae023/0DG3404__501__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/dolce-and-gabbana/8056262242971
Glasses.com,Michael Kors,MK3068 Portland,$ 175.00,$ 87.50,Unknown,https://assets2.glasses.com/cdn-record-files-pi/54193723-fc16-4084-94cc-af1c0101b07a/d6c10b94-0291-4b88-ab40-af1d0001be79/0MK3068__1108__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/michael-kors/725125395281
Glasses.com,Polo Ralph Lauren,PH2283U,$ 237.00,$ 165.90,Unknown,https://assets2.glasses.com/cdn-record-files-pi/c5964812-3b66-4f79-9b8f-b17200b459da/a82d2a35-1018-40bf-98c2-b17200b45e4f/0PH2283U__6213__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/polo-ralph-lauren/8056262185391
Glasses.com,Versace,VE1302,$ 526.00,$ 368.20,Unknown,https://assets2.glasses.com/cdn-record-files-pi/9c1b39a8-78d0-41ed-ac43-b17800ed7025/32c29533-f8ea-4305-9221-b17800f7236c/0VE1302__1001__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/versace/8056262220139
Glasses.com,Ray-Ban,RB7021 Matthew,$ 176.00,$ 88.00,Unknown,https://assets2.glasses.com/cdn-record-files-pi/16906417-c0b0-431d-a6e0-a35900d7b7c9/c83b50f1-6715-4b49-996e-a6910094db78/0RX7021__5365_000A.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/ray-ban/8053672187748
Glasses.com,Vogue Eyewear,VO5615,$ 128.00,$ 89.60,Unknown,https://assets2.glasses.com/cdn-record-files-pi/bbd693ea-2d8e-46e2-abb8-b16f00efb777/b7181f2c-8784-43d0-b964-b16f0105c1d8/0VO5615__3181__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/vogue-eyewear/8056262242414
Glasses.com,Jimmy Choo,JC3025,$ 287.00,$ 200.90,Unknown,https://assets2.glasses.com/cdn-record-files-pi/727472cb-6853-49af-a8e3-b14d00eac8e6/1de6b0f3-7e50-45a6-851d-b14d00f40fd0/0JC3025__5019__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/jimmy-choo/8056262238042
Glasses.com,Scuderia Ferrari,FZ8020U,$ 191.00,$ 133.70,Unknown,https://assets2.glasses.com/cdn-record-files-pi/92616779-a13f-46b6-b361-b1fc0158cd30/97f8090e-8b93-4035-91bc-b1fc0158d1d7/0FZ8020U__501__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/scuderia-ferrari/8056262407714
Glasses.com,Polo Ralph Lauren,PH2251U,$ 183.00,$ 91.50,Unknown,https://assets2.glasses.com/cdn-record-files-pi/86a39a19-fbea-49e7-b0d3-ae7d00515144/6237af24-5bcf-4ade-a46a-ae7d00adfad5/0PH2251U__5017__P21__noshad__qt.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/polo-ralph-lauren/8056597737548
Glasses.com,Burberry,JB2005 Kids,$ 138.00,$ 96.60,Unknown,https://assets2.glasses.com/cdn-record-files-pi/10ddfcad-95f2-4fc4-b10e-af7000bdc637/ba74f8de-3b6b-42eb-b1da-af8e00ab6fae/0JB2005__3024__P21__noshad__fr.png?imwidth=400,,https://www.glasses.comhttps://www.glasses.com/gl-us/burberry/8056597892254
